清单,名称,UI命中面数,GP命中面数,UI命中面,GP命中面
CodeBuddyFuncs,SetAndCall_bool,0,0,,
CodeBuddyFuncs,SetAndCall_float,0,0,,
CodeBuddyFuncs,SetAnimationSpeed,0,0,,
CodeBuddyFuncs,SetAppLostFocusHandler,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,SetAppRegainedFocusHandler,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,SetAutoSize,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,SetAxisColor,0,0,,
CodeBuddyFuncs,SetBGColor,0,0,,
CodeBuddyFuncs,SetBackgroundColor,0,0,,
CodeBuddyFuncs,SetBeginVal,0,0,,
CodeBuddyFuncs,SetBorderColors,0,0,,
CodeBuddyFuncs,SetBorderStyle,0,0,,
CodeBuddyFuncs,SetButtonHighlightColor,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,SetButtonIconText,0,0,,
CodeBuddyFuncs,SetChannelOff,0,0,,
CodeBuddyFuncs,SetChannelOn,0,0,,
CodeBuddyFuncs,SetCheck,0,0,,
CodeBuddyFuncs,SetCheckColor,0,0,,
CodeBuddyFuncs,SetCheckTexture,0,0,,
CodeBuddyFuncs,SetCheckTextureOffsetVal,0,0,,
CodeBuddyFuncs,SetCheckTextureSizeVal,0,0,,
